"player_api_id","player_name","overall_rating","date","gk_rating","appearance","leagues"
2984,"Sergio Aragones",65,"2013-09-20 00:00:00",323,38,1
5044,"Jeroen Verhoeven",65,"2014-09-18 00:00:00",330,21,1
5047,"Wilko de Vogt",61,"2013-03-28 00:00:00",309,10,1
5440,"Marjan Petkovic",65,"2015-02-13 00:00:00",324,5,1
5710,"Diederik Boer",70,"2015-10-30 00:00:00",341,53,1
7334,"Anssi Jaakkola",57,"2013-02-15 00:00:00",286,12,1
7621,"Anthony Favre",60,"2015-11-12 00:00:00",300,51,1
9183,"Janos Balogh",62,"2014-09-23 00:00:00",306,34,1
10637,"Andris Vanins",69,"2016-03-10 00:00:00",346,223,1
11024,"Tomas Cerny",67,"2016-02-04 00:00:00",327,135,1
11316,"Jean-Louis Leca",71,"2016-01-21 00:00:00",357,45,1
11319,"Benoit Costil",81,"2015-11-12 00:00:00",407,181,1
11320,"Steeve Elana",73,"2015-11-12 00:00:00",361,95,1
11321,"Vincent Plante",59,"2016-02-18 00:00:00",292,53,1
11336,"Rudy Riou",69,"2016-02-11 00:00:00",348,69,2
11498,"Stuart Nelson",63,"2016-01-07 00:00:00",308,3,1
11716,"Pedro Roma",70,"2009-02-22 00:00:00",342,2,1
11760,"Jorge Baptista",64,"2012-02-22 00:00:00",314,5,1
12209,"Tomas Kosicky",64,"2014-04-04 00:00:00",309,7,1
12318,"Dusan Pernis",65,"2013-04-19 00:00:00",323,106,2
12340,"Richard Zajac,28",67,"2015-01-09 00:00:00",340,73,1
13033,"Orestis Karnezis",79,"2016-04-14 00:00:00",391,81,2
13034,"Michalis Sifakis",69,"2015-11-19 00:00:00",347,7,1
13131,"Tomislav Pacovski",66,"2014-10-24 00:00:00",318,70,1
13320,"Krzysztof Kotorowski",65,"2015-09-21 00:00:00",332,70,1
13345,"Pawel Kieszek",75,"2015-10-16 00:00:00",374,143,2
13390,"Wojciech Skaba",59,"2016-04-21 00:00:00",302,60,1
13436,"Krzysztof Pilarz",64,"2016-04-21 00:00:00",320,125,1
13454,"Sebastian Przyrowski",60,"2016-05-12 00:00:00",281,94,1
13471,"Radoslaw Cierzniak",66,"2016-03-10 00:00:00",331,149,2
13472,"Arkadiusz Malarz",65,"2015-11-12 00:00:00",325,36,1
13473,"Maciej Mielcarz",62,"2014-05-16 00:00:00",307,90,1
13494,"Jakub Szmatula",66,"2016-04-21 00:00:00",337,48,1
14100,"Alan Mannus",68,"2016-04-21 00:00:00",341,156,1
15361,"Jasmin Buric",70,"2016-04-28 00:00:00",341,101,1
16199,"Boban Bajkovic",67,"2015-04-10 00:00:00",336,22,1
16362,"Andjelko Djuricic",68,"2011-02-22 00:00:00",344,27,1
17869,"Dusan Kuciak",72,"2016-02-04 00:00:00",348,117,1
18558,"Nicolas Navarro",67,"2016-01-28 00:00:00",331,18,1
19344,"Artur",73,"2016-02-04 00:00:00",365,112,2
19393,"Diego",70,"2015-10-23 00:00:00",351,81,1
19403,"Galatto",69,"2014-05-23 00:00:00",348,5,2
19434,"Marcelo Boeck",71,"2016-01-21 00:00:00",348,36,1
19435,"Renan",74,"2014-04-18 00:00:00",368,54,1
19515,"Cassio",74,"2016-04-07 00:00:00",365,193,1
20747,"Eiji Kawashima",69,"2016-01-07 00:00:00",345,110,2
21645,"David Meul",62,"2015-09-21 00:00:00",315,34,1
22125,"Paulo Lopes",69,"2016-03-31 00:00:00",347,34,1
22418,"Peterson Pecanha",73,"2012-02-22 00:00:00",357,56,1
22700,"Lorenzo Bucchi",57,"2016-03-10 00:00:00",283,12,1
22822,"Aleksander Seliga",67,"2011-02-22 00:00:00",338,32,1
22924,"Neil Alexander",64,"2015-11-12 00:00:00",328,52,1
22962,"Ben Williams",63,"2015-09-21 00:00:00",307,74,1
22978,"Ross Turnbull",65,"2015-11-12 00:00:00",331,28,1
22998,"Julian Speroni",76,"2016-02-04 00:00:00",379,75,1
23021,"Boaz Myhill",72,"2016-02-11 00:00:00",363,116,1
23027,"Matt Duke",60,"2015-04-17 00:00:00",284,21,1
23075,"Franco Sosa",70,"2013-02-15 00:00:00",44,40,1
23080,"Rab Douglas",61,"2013-04-19 00:00:00",303,30,1
